recno,Name,Date,Time,RAdeg,DEdeg,length,angle,sigma,mag,snr,seeing,Inst,Filter,ExpTime,predRA,predDE,preda,predb,predlength,predangle,predmag,predsn, , ,"""Y:M:D""", ,deg,deg,arcsec,deg,arcsec,mag, ,arcsec, , ,s,deg,deg,arcsec,arcsec,arcsec,deg,mag
68,2005UG1  ,04-11-2016,01-03-1930,8.018414565,-29.07635844,16.47322005,57.82668221,0.66963477,21.82051845,3.487891751,1.125696005,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,8.0181875,-29.07611111,1.071,1.999,17.73367545,92.211,21.365,4.928907159,,,,,,,,,,,,,,,,,,,,,,
69,2005UG1  ,04-11-2016,01-07-2015,8.022241956,-29.08165799,13.5737763,58.68273845,0.61961886,21.78346109,4.083445485,1.207419319,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,8.0218125,-29.08111111,1.072,2,17.73367545,92.212,21.365,4.595297601,,,,,,,,,,,,,,,,,,,,,,
70,2019RA1  ,14-02-2016,8-43-18,202.0947121,-0.336717832,21.37669737,109.0208821,1.67061258,21.50450051,8.366368122,0.483829364,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,201.8276458,-0.108375,3203.506,8479.733,20.92351258,154.675,21.114,12.24739212,,,,,,,,,,,,,,,,,,,,,,
71,2016TS92 ,18-03-2016,01-04-1942,159.1244676,-27.72151306,6.33243576,174.8337938,0.36106938,22.27418744,5.966622355,1.028975563,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,159.1242083,-27.72143056,3.113,1.388,7.200715411,93.362,21.556,10.1671666,,,,,,,,,,,,,,,,,,,,,,
72,2016TS92 ,18-03-2016,1-16-11,159.1201303,-27.72154599,17.19200028,361.4310591,1.06963626,20.99844154,6.301682252,1.162036724,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,159.1195417,-27.72145833,3.113,1.388,7.200715411,93.362,21.556,9.002956415,,,,,,,,,,,,,,,,,,,,,,
73,2016TS92 ,18-03-2016,1-27-39,159.1146671,-27.72156555,8.37875451,361.5547607,0.41654907,21.99079183,5.447794308,1.105764085,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,159.1148958,-27.72151389,3.113,1.388,7.350701241,93.362,21.556,9.268071383,,,,,,,,,,,,,,,,,,,,,,
74,2016TS92 ,18-03-2016,4-34-36,159.0388946,-27.7216834,6.82645803,362.4518407,1.55719557,21.68034415,2.67051072,0.942969405,ESO-VST/OMEGACAM,OCAM_i_SDSS,300,159.0387292,-27.72163889,3.114,1.391,7.350021,93.364,21.443,3.08631372,,,,,,,,,,,,,,,,,,,,,,
75,2016TS92 ,18-03-2016,4-46-05,159.0341565,-27.72161047,6.39101757,177.3209463,0.48155184,21.31715424,4.362676608,0.861470243,ESO-VST/OMEGACAM,OCAM_i_SDSS,300,159.0340625,-27.72161111,3.114,1.392,7.350021,93.364,21.443,3.378293605,,,,,,,,,,,,,,,,,,,,,,
76,2016EL156,06-03-2016,8-24-28,222.1360372,-8.626778545,24.77516895,85.02716598,0.89691336,20.78016458,3.128565399,1.146544885,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,222.1357708,-8.621388889,13.297,120.537,23.90613946,149.17,19.829,7.786075768,,,,,,,,,,,,,,,,,,,,,,
77,2016GD1  ,07-03-2016,7-35-41,197.822889,0.13350754,4.95543237,53.06746558,0.36228423,22.26252363,12.36683167,0.702458303,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,197.8225833,0.133402778,2.439,1.653,4.74343749,92.771,22.236,13.23909185,,,,,,,,,,,,,,,,,,,,,,
78,2016GD1  ,07-03-2016,7-42-25,197.8237198,0.132349012,4.73067714,57.12727263,0.466452,22.22326637,11.51842901,0.819118806,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,197.8234583,0.132194444,2.439,1.653,4.661565808,92.771,22.236,11.55295932,,,,,,,,,,,,,,,,,,,,,,
79,2016GD1  ,07-03-2016,7-49-09,197.8246293,0.13111293,4.9912086,54.4382671,0.50308272,22.02559477,11.37917453,0.942791407,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,197.8242917,0.131,2.438,1.652,4.661565808,92.77,22.236,10.03747613,,,,,,,,,,,,,,,,,,,,,,
80,2016GD1  ,07-03-2016,7-55-53,197.8254484,0.129855073,4.01019087,58.37345583,0.50625351,22.32112766,9.980715977,1.019042272,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,197.8251667,0.129805556,2.438,1.652,4.661565808,92.77,22.235,9.294968911,,,,,,,,,,,,,,,,,,,,,,
81,2016GD1  ,07-03-2016,08-02-1938,197.8263477,0.128742472,4.8045123,56.95326534,0.69662775,22.34691192,7.447856958,1.113075441,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,197.8260208,0.128611111,2.438,1.652,4.750021,92.769,22.235,8.351255948,,,,,,,,,,,,,,,,,,,,,,
